x,y,z,heading1,heading2,heading3
0.18975,-0.3776667,0.1025,153.3238,-74.81551,28.37722,2.999998
0.1835,-0.3785,0.08,154.1355,-78.06557,23.55562,3.009998
0.1764167,-0.3945833,0.08974999,155.9108,-77.18579,26.9642,3.019998
0.1785,-0.4,0.07058334,155.9512,-79.9927,21.57507,3.029998
0.1679167,-0.3935,0.0575,156.8908,-81.68652,18.90283,3.039998
0.1683333,-0.3983333,0.04933333,157.0914,-82.9399,16.33424,3.049998
0.1564167,-0.41225,0.05225,159.2222,-82.77664,18.47157,3.059998
0.1530833,-0.416,0.04308333,159.7969,-84.0872,15.71857,3.069998
0.1329167,-0.4208333,0.01291667,162.4717,-88.24196,5.550499,3.079998
0.1254167,-0.4108333,0.001416667,163.0239,-89.80243,0.6471673,3.089998
0.1130833,-0.4264167,-0.0175,165.1474,-92.35007,-8.79692,3.099998
0.08349999,-0.4183333,-0.02975,168.712,-94.06776,-19.61034,3.109998
0.081,-0.4225,-0.02933333,169.1472,-93.97156,-19.90734,3.119998
0.001,-0.4070833,-0.08,179.8592,-101.1181,-89.28383,3.129997
-0.001,-0.4108333,-0.095,-179.8605,-103.0201,-90.60308,3.139997
-0.03725,-0.40475,-0.12125,-174.7417,-106.6765,-107.0778,3.149997
-0.086,-0.4005833,-0.1564167,-167.8833,-111.3293,-118.8026,3.159997
-0.08474999,-0.3801667,-0.171,-167.4326,-114.2183,-116.3637,3.169997
-0.1266667,-0.3520833,-0.1866667,-160.2131,-117.9315,-124.1597,3.179997
-0.1270833,-0.3425,-0.2020833,-159.6428,-120.5416,-122.1644,3.189997
-0.17,-0.3083333,-0.236,-151.1298,-127.4306,-125.7667,3.199997
-0.175,-0.3079167,-0.2458333,-150.3889,-128.603,-125.4457,3.209997
-0.2045833,-0.2685,-0.2601667,-142.6944,-134.0969,-128.1799,3.219997
-0.2139167,-0.2514167,-0.27,-139.6073,-137.0412,-128.3892,3.229997
-0.2239167,-0.2233333,-0.276,-134.9253,-141.0209,-129.0522,3.239997
-0.2226667,-0.2170833,-0.2925,-134.2726,-143.4185,-127.2803,3.249997
-0.221,-0.1864167,-0.30375,-130.1481,-148.4618,-126.0386,3.259997
-0.2264167,-0.1458333,-0.325,-122.7853,-155.8334,-124.8636,3.269997
-0.2391667,-0.1329167,-0.3368333,-119.0631,-158.4655,-125.3764,3.279997
-0.2333333,-0.10125,-0.35125,-113.4574,-163.92,-123.5958,3.289997
-0.2464167,-0.06791667,-0.35375,-105.4091,-169.132,-124.8605,3.299997
-0.2329167,-0.05933333,-0.3626667,-104.2916,-170.7085,-122.7099,3.309997
-0.2214167,-0.03516667,-0.36475,-99.02466,-174.493,-121.2593,3.319997
-0.2235,-0.01,-0.3655833,-92.56185,-178.4331,-121.4396,3.329997
-0.2201667,0.016,-0.3708333,-85.84349,177.5294,-120.6979,3.339997
-0.2095833,0.03333333,-0.37975,-80.96304,174.9836,-118.8942,3.349997
-0.2058333,0.05808333,-0.3870833,-74.24166,171.4662,-118.002,3.359997
-0.191,0.07391667,-0.3789167,-68.84364,168.9617,-116.7512,3.369997
-0.1629167,0.1029167,-0.3814167,-57.71884,164.8996,-113.129,3.379997
-0.1539167,0.125,-0.3793334,-50.91899,161.7616,-112.0851,3.389997
-0.1493333,0.1389167,-0.3958333,-47.06963,160.6616,-110.6696,3.399997
-0.1443333,0.15875,-0.406,-42.27668,158.644,-109.5703,3.409997
-0.1325,0.1691667,-0.4064167,-38.06986,157.401,-108.057,3.419997
-0.1205833,0.1839167,-0.3908334,-33.2505,154.7995,-107.1465,3.429997
